category,Invertor,firm,series,power,model,Expenses,Cost,Profit,Status,Note
CLS,-,Energolux,Basel4_New,SAS-07B_7,SAS07B4-A/SAU07B4-A,25098.0,32900,4512.0,In,
CLS,-,Energolux,Basel4_New,SAS-09B_9,SAS09B4-A/SAU09B4-A,27620.0,35900,4690.0,In,
CLS,-,Energolux,Lausanne,SAS-12L_12,SAS12L4-A/SAU12L4-A,42702.0,50600,2838.0,In,
CLS,-,Energolux,Lausanne,SAS-18L_18,SAS18L4-A/SAU18L4-A,70383.0,81400,2877.0,In,
CLS,-,Energolux,Lausanne_New,SAS-07AR_7,SAS07AR1-A/SAU07AR1-A,31880.0,35900,430.0,Mv,
CLS,-,Energolux,Lausanne_New,SAS-18AR_18,SAS18AR1-A/SAU18AR1-A,69422.0,85900,7888.0,Mv,
CLS,-,Energolux,MurrenWhite_New,SAS-07MR_7,SAS07MR1-A/SAU07MR1-A,28251.0,37900,5859.0,Mv,
CLS,-,Energolux,MurrenWhite_New,SAS-09MR_9,SAS09MR1-A/SAU09MR1-A,35647.0,40900,1163.0,Mv,
CLS,-,Energolux,MurrenWhite_New,SAS-12MR_12,SAS12MR1-A/SAU12MR1-A,42683.0,54900,6727.0,Mv,
CLS,-,Energolux,MurrenWhite_New,SAS-18MR_18,SAS18MR1-A/SAU18MR1-A,67730.0,86900,10480.0,On,
CLS,-,Ishimatsu,Osaka_WiFi,Osaka-7🌐_7,AVK-07H,25187.0,29600,1453.0,In,
CLS,-,Ishimatsu,Osaka_WiFi,Osaka-9🌐_9,AVK-09H,27982.0,33100,1808.0,In,
CLS,-,Ishimatsu,Osaka_WiFi,Osaka-12🌐_12,AVK-12H,35460.0,44900,4950.0,In,
CLS,-,Ishimatsu,Osaka_WiFi,Osaka-18🌐_18,AVK-18H,62389.0,74500,4661.0,In,
CLS,-,MDV,Infini,Infini-7_7,MDSAG-07HRN1/MDOAG-07HN1,26766.0,30700,864.0,Mv,
CLS,-,MDV,Infini,Infini-9_9,MDSAG-09HRN1/MDOAG-09HN1,25593.0,32400,3567.0,Mv,
CLS,-,MDV,Infini,Infini-18_18,MDSAG-18HRN1/MDOAG-18HN1,56473.0,63500,677.0,Mv,
CLS,-,Coolberg,Runa,Runa-7_7,CS-07R1,22306.0,28600,3434.0,Mv,
CLS,-,Coolberg,Runa,Runa-9_9,CS-09R1,23511.0,30800,4209.0,Mv,
CLS,-,Coolberg,Runa,Runa-12_12,CS-12R1,32972.0,41600,4468.0,In,
CLS,-,Coolberg,Runa,Runa-18_18,CS-18R1,49238.0,65500,9712.0,Mv,
CLS,-,Coolberg,City_New,CityN-7_7,CS-07SH1,26871.0,31800,1749.0,Mv,
CLS,-,Coolberg,City_New,CityN-9_9,CS-09SH1,29385.0,34400,1575.0,Mv,
CLS,-,Coolberg,City_New,CityN-12_12,CS-12SH1,38028.0,45800,3192.0,Mv,
CLS,-,Coolberg,City_New,CityN-18_18,CS-18SH1,57913.0,75800,10307.0,Mv,
CLS,-,Kalashnikov,Forpost_OnOff,Farpost-7_7,KVAC-07IN-FP1,34046.0,41300,3124.0,Mv,
CLS,-,Kalashnikov,Forpost_OnOff,Farpost-9_9,KVAC-09IN-FP2,36229.0,44700,4001.0,Mv,
CLS,-,Kalashnikov,Forpost_OnOff,Farpost-12_12,KVAC-12IN-FP3,47836.0,62000,7964.0,Mv,
CLS,-,Centek,CT_65F_WiFi_New,CT65-7🌐_7,CT-65F07_WiFi,23664.0,27900,1446.0,Mv,
CLS,-,Centek,CT_65F_WiFi_New,CT65-9🌐_9,CT-65F09_WiFi,22637.0,29900,4273.0,Mv,
CLS,-,Centek,CT_65G_Black,CT65-9_9,CT-65G10_Gray,31789.0,36800,1331.0,Mv,
CLS,-,Centek,CT_65G_Black,CT65-18_18,CT-65G18_Gray,53693.0,70900,10117.0,Mv,
===,,,,,,,,,
INV,+,Energolux,Lugano_Pro_Line,LuPL±30-09_9,SAS09DL2-AI/SAU09DL2-AI,68471.0,89500,12079.0,Mv,Работа на обогрев до -30
INV,+,Energolux,Lugano_Pro_Line,LuPL±30-12_12,SAS12DL2-AI/SAU12DL2-AI,81550.0,94800,3770.0,Mv,Работа на обогрев до -30
